,is_fake,emoji
0,0,"{'👆🏻': 'backhand index pointing up: light skin tone', '👀': 'eyes'}"
1,0,"{'😍': 'smiling face with heart-eyes', '👀': 'eyes'}"
2,0,"{'😖': 'confounded face', '🍳': 'cooking'}"
3,0,"{'⭐': 'star', '💖': 'sparkling heart'}"
4,0,"{'🥘': 'shallow pan of food', '🧐': 'face with monocle'}"
5,0,{}
6,0,{'🤨': 'face with raised eyebrow'}
7,0,"{'😍': 'smiling face with heart-eyes', '☝🏻': 'index pointing up: light skin tone', '👀': 'eyes'}"
8,0,{'☝🏻': 'index pointing up: light skin tone'}
9,0,"{'✈️': 'airplane', '🥳': 'partying face'}"
10,0,{'🍚': 'cooked rice'}
11,0,{'😮\u200d💨': 'face exhaling'}
12,0,{}
13,0,"{'🐶': 'dog face', '☝🏻': 'index pointing up: light skin tone', '👀': 'eyes'}"
14,0,"{'☝🏻': 'index pointing up: light skin tone', '👩🏻': 'woman: light skin tone', '🏻': 'light skin tone', '😫': 'tired face'}"
15,0,{}
16,0,"{'❤️': 'red heart', '🛳': 'passenger ship', '😋': 'face savoring food'}"
17,0,"{'👆🏻': 'backhand index pointing up: light skin tone', '😍': 'smiling face with heart-eyes'}"
18,0,"{'📸': 'camera with flash', '✂️': 'scissors'}"
19,0,{'😋': 'face savoring food'}
20,0,{'🤔': 'thinking face'}
21,0,"{'🛳': 'passenger ship', '🤤': 'drooling face'}"
22,0,"{'👆🏻': 'backhand index pointing up: light skin tone', '😍': 'smiling face with heart-eyes', '😙': 'kissing face with smiling eyes', '🍀': 'four leaf clover'}"
23,0,"{'🤑': 'money-mouth face', '🎰': 'slot machine'}"
24,0,"{'👆🏻': 'backhand index pointing up: light skin tone', '🤔': 'thinking face', '🍌': 'banana'}"
25,0,"{'💸': 'money with wings', '🤪': 'zany face'}"
26,0,"{'🤙🏻': 'call me hand: light skin tone', '🚢': 'ship'}"
27,0,"{'👆🏻': 'backhand index pointing up: light skin tone', '🚨': 'police car light'}"
28,0,{}
29,0,"{'🇮🇹': 'flag: Italy', '🤔': 'thinking face'}"
30,0,{}
31,0,"{'🪑': 'chair', '🤪': 'zany face'}"
32,0,{'🤣': 'rolling on the floor laughing'}
33,0,"{'😫': 'tired face', '🙃': 'upside-down face'}"
34,0,{'😸': 'grinning cat with smiling eyes'}
35,0,"{'😝': 'squinting face with tongue', '🖤': 'black heart', '🧸': 'teddy bear'}"
36,0,{'🤫': 'shushing face'}
37,0,"{'🍌': 'banana', '🥤': 'cup with straw', '🤪': 'zany face'}"
38,0,"{'😅': 'grinning face with sweat', '📌': 'pushpin'}"
39,0,{}
40,0,{'🤪': 'zany face'}
41,0,{'🔥': 'fire'}
42,0,{}
43,0,"{'🎇': 'sparkler', '🇸🇬': 'flag: Singapore', '👇🏻': 'backhand index pointing down: light skin tone', '🥳': 'partying face'}"
44,0,{'😍': 'smiling face with heart-eyes'}
45,0,"{'🤔': 'thinking face', '🏡': 'house with garden'}"
46,0,{}
47,0,{}
48,0,{}
49,0,{'🥳': 'partying face'}
50,0,{}
51,0,{}
52,0,"{'👆🏻': 'backhand index pointing up: light skin tone', '👀': 'eyes'}"
53,0,"{'😌': 'relieved face', '🤩': 'star-struck'}"
